ID,Brewery,Name,Country,Un-Subregion,Region,Style,ABV,IBU,SRM,Calories,has_yeast_data,Wheat,Corn,Rice,Oats
1,Brasserie Lefebvre for Amstein,Wittekop,Belgium,Western Europe,Europe,Witbier,4.5,12,4,135,0,1,0,0,0
2,Adnams,Adnams Broadside,UK,Northern Europe,Europe,English Strong Ale,6.3,43,18,189,0,0,0,0,0
3,Brasserie Du Jorat,Ambrée des Brigands du Jorat,Switzerland,Western Europe,Europe,Smoked,6,14,10,180,1,0,0,0,0
4,Anchor,Anchor Porter,USA,Northern America,North America,Porter,5.6,27,20,168,0,0,0,0,0
5,Anchor,Anchor Steam,USA,Northern America,North America,California Common,4.9,37,6,147,0,0,0,0,0
6,Anderson Valley,Heelch O'hops Double IPA,USA,Northern America,North America,IPA,8.7,100,12,261,0,0,0,0,0
7,Asahi,Asahi super dry,Japan,Eastern Asia,Asia,Lager,5,12,3,150,0,0,1,1,0
8,BFM,La Salamandre,Switzerland,Western Europe,Europe,Weissbier,6.3,15,4,189,1,1,0,0,0
9,BFM,La Torpille,Switzerland,Western Europe,Europe,Belgian Strong Ale,7.5,40,16,225,0,0,0,0,0
10,Brasserie Du Jorat,Blanche du Jorat,Switzerland,Western Europe,Europe,Weissbier,5.5,15,4,180,0,1,0,0,0
11,Brooklyn Brewery,Brooklyn Lager,USA,Northern America,North America,Amber Lager,5.2,33,14,156,0,0,0,0,0
12,Black Sheep,Monty Python's Holy Grail,UK,Northern Europe,Europe,Premium Bitter,4.7,30,12,141,0,1,0,0,0
13,Thai Beverages,Chang,Thailand,South-eastern Asia,Asia,Pale Lager,5,14,3,150,0,0,0,1,0
14,Chimay,Chimay Red Cap,Belgium,Western Europe,Europe,Abbey Dubbel,7,20,14,210,1,1,0,0,0
15,Innis & Gunn,Innis & Gunn Rum Finish,UK,Northern Europe,Europe,English Strong Ale,7.4,21,28,222,0,0,0,0,0
16,Brasserie Castelain,Ch'Ti Blonde,France,Western Europe,Europe,Bière de Garde,6.4,24,12,192,0,0,0,0,0
17,Brewdog,Cocoa Psycho,UK,Northern Europe,Europe,Imperial Stout,10,85,40,300,0,1,0,0,0
