ID,Alternaria alternata,Alternaria destruens,Aspergillus versicolor,Aureobasidium pullulans,Botryozyma americana,Botryozyma mucatilis,Botryozyma nematodophila,Brettanomyces bruxellensis,Candida apicola,Candida bohioensis,Candida jiufengensis,Candida parapsilosis,Candida pseudojiufengensis,Candida sithepensis,Candida solani,Ceratobasidium ramicola,Cladosporium allii,Cladosporium cucumerinum,Cladosporium echinulatum,Cladosporium grevilleae,Cladosporium herbarum,Cladosporium macrocarpum,Cladosporium phaenocomae,Cladosporium phlei,Cladosporium ramotenellum,Cladosporium soldanellae,Cladosporium tenuissimum,Cladosporium variabile,Clavispora reshetovae,Cutaneotrichosporon moniliiforme,Cystobasidiopsis lophatheri,Epicoccum brasiliense,Filobasidium magnum,Ganoderma destructans,Gelasinospora tetrasperma,Hebeloma angustisporium,Humicola nigrescens,Kazachstania aquatica,Kazachstania kunashirensis,Kazachstania martiniae,Kazachstania siamensis,Kurtzmaniella cleridarum,Lachancea quebecensis,Lodderomyces elongisporus,Malassezia globosa,Malassezia restricta,Mrakia frigida,Mucor circinelloides,Nematodospora valgi,Neurospora terricola,Ogataea chonburiensis,Ogataea nitratoaversa,Ogataea pilisensis,Ogataea wickerhamii,Papiliotrema aurea,Paraphaeosphaeria sardoa,Penicillium cravenianum,Penicillium crustosum,Penicillium fusisporum,Penicillium kongii,Pichia fermentans,Pichia kudriavzevii,Pichia membranifaciens,Priceomyces fermenticarens,Priceomyces melissophilus,Rhizopus sexualis,Rhodotorula mucilaginosa,Roccella elisabethae,Saccharomyces bayanus,Saccharomyces cariocanus,Saccharomyces cerevisiae,Saccharomyces eubayanus,Saccharomyces kudriavzevii,Saccharomyces mikatae,Saccharomyces paradoxus,Saccharomyces pastorianus,Saccharomycodes ludwigii,Sporidiobolus metaroseus,Sporopachydermia lactativora,Thelebolus globosus,Thermomyces lanuginosus,Trichoderma atroviride,Trichoderma neokoningii,Truncospora macrospora,Typhula maritima,Vishniacozyma carnescens,Wallemia muriae,Wickerhamomyces anomalus
3,14,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,10,391,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,51,528,609839,44,1813,30095,551,49,0,0,0,0,0,0,0,0,0,0,0,0
8,0,10,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,32,1573,627111,37,1200,7907,1871,34,11,0,0,0,0,0,0,0,0,0,0,0
14,54,47,0,12,0,0,0,158,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,12,13,14,18,0,0,0,17,698,0,34,0,0,24,63,0,0,0,14,0,0,0,0,0,0,0,24,15,0,0,16,0,0,0,0,18,0,14,205,546183,12,282,3496,206,11,0,14,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,921,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,316,618714,20,560,5381,260,28,17,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,10,453555,52,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,21,0,0,0,0,0,0,0,27,10,203,0,0,0,0,0,0,0,0,0,18,20,0,0,0,85,2754,58604,79,849,3076,2786,80,129,0,0,0,0,0,0,0,0,0,0,0
52,0,10,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,1634,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,22,33,10,0,0,206,1923,2467312,201,6567,116304,1986,207,44,0,0,0,0,0,0,0,0,0,0,0,
56,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,26,677,657767,37,1240,19042,777,42,88,0,0,0,0,0,0,0,0,0,0,0
57,23,41,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,18,0,25,11,0,10,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,33,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,389,598629,53,968,8766,375,66,0,0,0,0,0,0,0,0,0,0,0,0
58,248,243,0,32,0,0,0,38,0,0,0,0,0,0,0,20,24,13,19,16,18,16,0,19,53,15,0,29,0,0,0,23,64,0,0,22,0,0,0,468,0,0,0,0,0,0,10,0,0,0,0,0,0,0,22,64,0,0,0,0,0,0,0,0,0,0,0,0,547,248,323396,55,937,18693,259,580,0,16,0,0,18,10,14,24,20,14,0,0
62,18,16,0,0,0,0,0,24,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,14,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,15,259,357000,18,581,8752,289,16,10,0,0,0,0,0,0,0,0,0,0,10
